Cluster,MonetaryValue,Frequency,Recency
1,1310.3400000000001,4,500
2,1142.03,11,168
1,1000.91,6,392
3,216.17,1,56
1,515.86,2,325
2,1245.9,5,0
1,273.26,2,428
0,2556.09,9,17
2,1239.55,4,247
1,662.4000000000001,1,386
3,501.56,4,57
3,145.67000000000002,1,73
3,1015.29,3,30
2,3192.54,2,6
1,919.57,3,526
2,1038.92,8,119
2,2049.15,7,357
0,4814.37,14,53
3,122.7,1,63
3,449.68,3,85
2,2473.06,4,54
1,395.5,1,645
2,1191.13,5,2
2,1888.48,10,6
3,506.8,2,188
3,243.56,1,70
3,349.55,1,203
2,2169.05,7,119
2,1991.23,6,92
0,2927.38,14,0
1,863.5600000000001,3,377
2,1267.6499999999999,6,26
1,821.1,1,297
3,564.62,3,23
0,4008.52,6,27
1,388.55,1,625
3,1160.72,3,49
1,686.4,2,325
3,388.52,2,15
2,1610.59,6,182
1,165.45000000000002,1,399
3,332.64,2,36
1,312.65,1,732
1,42.0,1,408
1,136.8,1,691
2,2319.55,4,79
1,286.6,2,422
1,124.95,1,423
1,42.22,1,506
3,626.45,2,11
1,70.80000000000001,1,393
1,1275.81,4,463
3,272.04,2,49
3,1212.8400000000001,2,49
2,1252.68,4,58
1,1774.68,4,431
1,730.7,4,401
1,865.2,3,351
3,351.13,1,53
2,1838.8500000000001,6,1
3,678.25,4,92
3,223.85000000000002,1,22
3,708.26,2,74
3,464.57,4,10
0,3494.1,11,168
3,337.34,2,57
1,307.4,1,294
3,608.7900000000001,2,108
3,922.1,1,263
3,939.66,3,179
3,880.13,2,168
3,71.66,1,34
2,1560.96,7,22
3,839.14,4,16
1,320.0,1,534
1,246.54,1,577
1,200.43,1,652
1,854.15,2,394
2,1876.23,6,78
3,90.6,1,64
1,548.76,4,360
2,2427.32,6,2
3,745.06,4,10
3,674.45,3,175
3,439.92,2,1
3,545.17,3,153
2,1026.42,5,4
1,458.25,3,417
0,4709.2300000000005,8,379
2,1076.18,6,78
3,230.22,2,20
1,538.4,1,391
3,362.8,3,21
1,438.9,2,386
1,996.61,3,476
1,390.86,1,434
3,166.3,2,145
1,123.66,1,422
1,846.55,2,385
0,4667.57,14,18
3,190.25,2,70
1,264.7,1,286
3,677.72,2,48
3,1192.36,4,206
1,519.8100000000001,1,410
3,196.79000000000002,2,14
0,3409.93,7,72
3,799.92,5,59
1,331.14,1,415
0,4445.59,9,38
0,2048.6,12,26
3,320.46,1,16
1,682.54,2,379
0,4757.8,8,19
2,2026.06,5,65
3,311.3,1,212
2,854.97,6,11
3,219.5,3,29
2,2313.14,6,3
0,3902.01,14,14
1,845.76,2,385
1,382.31,3,518
1,566.7,3,446
2,2046.3400000000001,5,210
0,4530.09,9,45
3,529.73,2,133
1,209.41,1,732
2,2874.72,5,9
2,2196.67,7,115
1,79.48,1,512
1,509.04,1,431
3,1099.91,3,197
1,445.15,2,564
1,457.82,2,479
3,328.8,1,277
2,1084.57,5,109
2,1948.21,3,76
3,917.34,1,52
1,229.75,1,570
1,367.15000000000003,1,644
3,1421.61,3,46
3,1249.01,4,16
2,1716.58,7,154
3,792.15,2,224
3,584.07,2,6
3,645.74,3,121
0,4057.9,8,464
1,713.11,2,470
3,104.82,1,60
3,467.66,2,62
0,4850.2699999999995,16,1
1,109.44,1,554
3,651.8199999999999,3,21
0,2856.72,9,28
3,626.65,1,284
2,836.95,6,175
2,3069.88,5,77
3,267.28000000000003,2,32
3,141.41,1,265
1,431.98,1,724
1,304.25,2,490
0,3119.35,10,26
1,151.59,1,283
0,4255.03,14,8
1,748.69,3,304
3,746.36,2,31
3,480.81,2,19
3,572.3,4,123
3,92.46,1,64
3,1520.96,3,105
1,469.19,2,462
3,183.6,1,266
1,917.4300000000001,3,506
0,3332.42,15,28
1,891.02,3,388
3,152.55,1,266
3,374.7,2,63
2,1528.3700000000001,4,319
1,230.06,2,514
1,326.55,1,684
2,1424.0,8,3
1,390.85,1,666
3,151.04,1,31
1,219.39999999999998,1,622
2,1724.87,5,4
3,122.47,1,128
2,615.0799999999999,6,40
2,1690.98,9,101
3,375.1,1,124
2,1115.68,5,32
1,413.36,2,364
2,1407.26,11,3
1,150.5,1,511
1,39.95,1,462
3,846.22,3,2
3,161.0,1,56
1,76.32000000000001,1,324
3,442.85,1,11
1,335.22,1,439
1,2.95,1,722
1,422.85999999999996,2,480
3,147.35,1,36
3,194.9,1,137
2,1360.28,5,4
3,768.5799999999999,5,154
1,214.79999999999998,1,736
0,4877.3,11,51
3,1044.96,4,30
3,144.2,1,72
3,692.85,4,13
2,1364.09,7,273
1,622.6700000000001,2,501
2,1382.74,5,19
3,90.0,1,143
1,458.45,1,428
1,183.37,2,375
2,2780.15,4,3
1,362.42,3,405
1,436.18,1,732
3,419.58000000000004,1,83
2,2740.43,3,10
3,1172.46,4,7
2,1900.0800000000002,6,122
3,924.21,3,60
0,2591.34,9,1
2,1882.67,4,318
1,187.87,1,648
0,3586.0299999999997,11,1
3,911.14,4,129
1,1570.81,5,400
1,332.7,1,695
3,982.3800000000001,2,1
3,1086.8,4,45
3,935.05,2,3
3,915.13,4,2
1,983.15,2,372
3,115.8,1,133
1,30.599999999999998,1,485
0,2590.2,9,77
3,466.29,2,233
3,446.62,1,220
3,658.64,2,35
1,679.45,2,672
2,1997.3400000000001,7,74
1,233.4,1,482
3,118.75,1,265
2,1002.78,5,19
3,507.66,1,39
0,3318.88,7,215
3,289.36,2,173
2,2594.62,5,86
3,1631.77,2,70
3,122.53999999999999,1,275
1,256.85,2,504
2,1296.49,8,38
1,370.45,2,420
1,616.03,2,430
1,597.33,3,374
3,498.79,2,97
1,402.72,3,604
2,586.0,6,10
3,134.46,1,32
2,916.01,5,296
0,2229.34,13,85
2,1600.93,7,8
3,719.78,2,40
1,310.55,2,410
1,678.77,4,443
1,286.29,2,410
3,452.89,1,66
1,197.65,1,330
1,1550.63,5,426
1,123.5,1,473
2,2054.36,6,30
1,79.9,1,665
0,4817.66,15,1
1,293.74,1,387
3,1210.19,3,67
2,2615.6,6,201
3,335.52,1,106
1,390.05,1,410
2,1569.73,9,17
3,1091.7,4,217
1,379.2,1,616
2,1193.54,10,59
1,847.76,3,380
1,339.34,1,396
3,1062.96,4,1
0,2414.2,9,16
3,1185.01,3,238
1,157.8,1,687
3,567.05,2,94
0,4993.27,15,10
2,2190.14,2,89
1,1192.2,1,404
2,1004.38,5,30
0,3416.33,9,11
2,2150.04,5,2
3,169.48000000000002,1,42
3,633.83,3,3
2,1515.0,4,246
3,683.17,1,176
3,991.13,3,91
2,1897.9,9,109
1,2037.02,4,434
2,3002.53,6,28
1,745.5,3,437
2,2594.04,7,51
1,979.8000000000001,3,435
2,1235.6200000000001,4,183
2,2048.07,5,42
2,2904.27,7,48
3,775.46,4,21
0,4717.99,9,74
2,1744.64,5,80
1,632.14,2,372
1,434.23,3,325
3,1247.49,3,29
3,333.70000000000005,2,183
3,280.55,2,234
1,366.41999999999996,1,660
3,1693.45,2,219
3,1474.06,3,110
3,772.66,5,277
1,1032.95,3,317
2,1904.05,3,6
2,2879.7000000000003,5,1
1,350.99,1,380
1,363.40000000000003,2,492
1,601.03,1,432
2,2473.9900000000002,5,259
3,120.0,1,141
1,824.28,3,470
3,1163.45,2,50
2,2618.23,8,7
1,322.93,1,422
2,1517.3600000000001,6,154
2,1373.35,4,108
1,40.56,1,427
3,1516.24,3,162
1,354.85,1,470
1,295.73,1,438
1,492.65000000000003,1,331
3,219.13,2,225
3,920.81,4,73
3,559.97,4,50
1,256.6,1,685
2,1189.3799999999999,6,395
2,2102.68,7,98
1,205.83,1,409
1,191.86,2,520
3,134.04,1,196
1,245.15,1,407
1,628.4399999999999,4,462
3,1299.65,3,30
0,3284.42,8,20
3,176.63,3,7
3,426.6,1,212
2,911.26,6,8
0,4516.56,8,10
0,3267.9300000000003,9,2
1,375.34,1,406
2,2352.91,4,39
1,456.40000000000003,2,420
2,1305.33,4,17
3,43.2,1,18
2,1992.18,4,116
1,742.9000000000001,3,430
1,277.94,2,406
2,1725.01,3,222
2,1858.96,3,70
2,3151.4,6,50
0,5071.03,10,88
0,3780.81,11,7
1,492.1,1,432
3,516.45,2,242
0,3090.29,11,46
3,229.8,2,106
0,3197.82,8,44
1,1370.34,5,421
3,508.58000000000004,1,64
1,158.02,1,459
1,494.85,1,423
2,1346.75,5,206
2,2218.06,7,10
1,474.1,4,428
3,605.0600000000001,2,114
1,701.61,2,409
1,245.48000000000002,1,569
3,940.98,3,241
2,1894.93,6,162
1,200.63,1,623
3,462.65999999999997,2,123
2,1943.51,5,22
3,415.2,1,67
0,4318.48,12,16
3,468.26,2,15
2,1614.91,4,16
3,928.1,3,160
3,620.27,2,242
3,134.7,1,218
2,918.44,6,20
1,1088.91,4,420
3,108.97999999999999,1,38
2,2315.75,5,120
1,82.6,1,736
3,409.57,1,259
3,133.5,1,9
3,972.03,3,273
3,51.0,1,164
3,1078.96,4,156
3,376.5,3,214
3,163.62,2,5
1,1014.45,3,365
3,701.23,2,79
3,225.77,1,42
1,400.06,2,388
3,912.18,3,18
2,2128.23,4,31
1,214.70999999999998,1,578
3,161.2,1,21
1,227.47000000000003,2,401
0,3717.35,8,108
1,634.68,2,394
1,136.0,1,524
1,155.0,1,319
1,469.13,2,641
1,1175.78,6,450
1,100.5,1,294
1,860.08,2,442
1,76.55,1,357
1,108.0,1,540
3,1132.99,3,184
1,215.46,1,682
3,617.05,2,190
1,131.25,1,621
2,1268.91,4,43
3,631.34,2,51
3,1246.8,2,25
3,1247.69,3,37
1,58.5,1,500
3,202.11,3,8
1,142.4,1,296
2,1770.56,3,32
2,1898.01,5,64
1,135.6,1,576
1,266.4,1,431
3,67.95,1,217
1,93.8,1,564
2,2121.93,7,64
1,707.79,2,400
2,2113.16,8,393
2,1732.47,3,148
1,285.6,1,651
2,1880.51,6,129
0,2899.11,13,33
1,195.0,1,386
3,156.75,1,118
2,2142.73,5,106
0,4109.77,11,10
0,3756.09,9,70
0,2650.14,11,91
1,1063.0,1,310
3,1426.19,3,42
1,427.57,3,361
2,2399.33,8,91
3,490.22,2,21
1,604.2,1,387
2,1937.25,3,3
2,1260.91,7,10
2,1639.17,4,98
2,2469.37,6,56
3,916.6099999999999,3,217
3,322.08,1,17
1,661.39,3,434
2,1263.52,4,49
2,1244.83,5,6
1,516.28,1,403
1,1220.9,3,511
2,2614.2,4,302
2,2255.51,6,9
1,289.6,1,465
2,1372.8,6,21
1,90.42,1,501
3,271.70000000000005,2,98
1,958.84,5,365
1,131.9,1,305
0,4611.6900000000005,11,0
2,2386.47,5,53
1,132.04,1,455
1,221.65,1,455
2,1236.51,5,0
2,1711.73,6,18
3,375.35,2,8
2,2482.8,8,18
2,1128.44,7,180
0,3308.77,12,59
3,665.59,4,10
3,119.93,1,189
1,977.3,5,375
1,628.21,4,431
0,3059.44,9,4
1,113.64,1,310
1,228.62,1,380
2,1093.5,9,109
0,2265.01,12,65
3,786.5699999999999,4,97
1,111.0,2,567
0,3946.03,11,246
0,4646.9,13,28
0,2220.9900000000002,12,17
1,204.24,1,733
2,2112.21,4,415
3,712.04,3,11
1,400.95,2,590
2,2228.22,9,103
3,234.34000000000003,2,73
3,1278.08,2,45
3,1151.15,4,71
3,215.7,1,256
2,1969.6,7,19
1,1276.66,4,381
2,1299.11,4,253
2,1299.52,4,10
2,2311.4900000000002,5,164
0,4357.91,12,17
3,257.1,2,281
3,1070.98,4,49
3,165.75,1,38
1,175.5,2,511
2,1453.61,7,26
3,1064.28,1,67
2,1574.93,4,206
1,1273.47,2,405
3,468.13,2,174
2,1921.91,7,429
0,5130.15,10,6
3,401.46,3,25
3,174.8,3,50
2,2668.23,7,311
1,697.0600000000001,2,308
0,3911.27,10,42
2,2138.9700000000003,7,25
3,356.85,3,87
3,251.21,2,183
0,2467.63,11,19
0,3543.26,6,2
3,673.26,4,46
0,3290.67,7,16
0,3284.43,11,23
3,874.94,5,21
1,110.95,1,533
1,1007.28,3,375
2,1314.81,5,10
2,1223.47,7,187
2,788.01,6,100
0,4598.9800000000005,9,60
0,3749.2599999999998,12,17
1,163.92,1,515
3,330.45,2,32
3,174.37,1,63
1,206.09,2,683
3,270.6,2,1
1,199.45000000000002,1,490
2,1758.6200000000001,8,23
3,241.09,1,107
0,2933.71,13,31
1,262.4,1,388
3,364.21999999999997,1,36
3,620.04,3,59
1,376.34,1,479
0,3859.1800000000003,11,235
0,3466.37,11,24
3,171.8,1,259
3,641.4,2,57
2,1370.8400000000001,5,64
3,537.48,2,15
0,3795.34,11,9
0,2499.68,14,58
3,103.25,1,185
2,2982.43,3,23
1,349.25,1,673
0,5197.9,11,4
0,4007.54,8,3
0,2627.49,9,150
1,916.5500000000001,4,310
2,1353.31,4,10
2,880.04,7,17
3,511.28000000000003,3,151
2,1841.54,9,18
2,2381.04,4,9
2,2315.63,6,56
1,835.34,3,595
3,788.38,1,84
1,655.5,3,653
1,75.6,1,389
3,1080.76,3,75
1,664.32,2,509
1,2605.62,2,434
2,3709.2200000000003,5,95
2,4092.0,4,110
3,1530.3600000000001,2,56
1,919.7,1,434
3,598.98,4,0
3,512.4,3,280
1,161.65,1,424
0,2621.42,13,179
1,143.70000000000002,1,732
1,460.71,1,487
1,70.80000000000001,1,371
2,1374.25,7,12
3,168.63,1,2
1,105.56,1,431
1,14.850000000000001,1,517
3,433.8,2,16
3,114.11,1,40
2,1781.03,8,5
2,1747.91,8,168
2,1143.27,5,49
3,237.36,1,276
2,1601.14,9,18
1,135.39,1,577
1,79.5,1,371
2,1447.14,4,14
3,570.46,3,34
0,3704.5099999999998,12,21
3,634.83,2,6
2,2164.45,8,19
1,229.47,1,626
2,2201.54,6,10
3,384.04,2,43
1,474.54,2,389
1,865.1700000000001,2,305
3,213.96,1,10
1,205.35999999999999,1,655
3,660.0,1,274
1,136.35999999999999,1,632
1,936.31,4,373
0,3342.94,10,3
2,1486.2,10,71
1,24.35,2,395
1,604.3299999999999,2,443
1,877.7,1,414
1,76.32000000000001,1,679
1,295.13,1,385
1,951.76,5,393
3,527.78,5,242
1,190.47000000000003,2,402
2,1342.32,7,8
3,1291.24,2,245
3,412.78000000000003,2,205
0,3000.57,9,0
3,320.58000000000004,1,184
2,2054.9,10,31
2,814.07,6,56
0,4497.88,11,195
1,462.75,1,378
2,1998.0,5,90
3,959.01,2,3
1,338.65,1,483
2,2025.69,6,50
3,114.56,1,262
3,344.90000000000003,1,265
1,2124.46,4,437
1,215.22,1,453
3,609.85,2,35
1,106.67999999999999,1,676
3,443.6,1,50
0,4978.96,9,51
0,3667.06,10,23
3,110.46,1,21
3,96.12,1,58
2,1679.89,5,169
2,2247.72,7,67
3,876.89,3,156
3,519.97,2,200
0,4543.6,15,415
0,3775.31,9,4
1,62.5,1,588
2,2034.1200000000001,9,66
3,114.18,1,76
0,3426.28,11,0
1,246.86,1,737
0,3878.51,7,7
3,814.65,5,168
2,1460.8700000000001,6,17
3,247.15,2,4
0,2529.93,9,8
3,285.74,2,86
3,107.95,1,26
2,1416.33,7,28
1,490.6,2,429
3,637.89,2,19
2,2749.65,7,60
3,179.95,1,23
1,111.63,1,444
2,3243.93,7,241
3,602.0,3,279
1,1127.45,2,548
3,1113.14,4,234
0,3410.81,7,2
1,173.66,1,508
3,1066.9,2,15
1,184.91,1,592
1,403.39,1,578
1,1289.44,3,381
2,875.1500000000001,6,70
2,1514.81,6,187
1,146.56,1,587
2,1468.55,6,25
0,4619.79,8,575
1,885.83,5,413
3,1402.06,3,106
3,112.8,1,208
3,794.33,4,43
2,2114.33,5,30
0,1745.09,12,136
2,1165.36,7,264
1,244.31,1,616
1,1620.07,3,518
0,2767.9,8,3
3,188.60999999999999,2,217
2,1250.76,5,1
3,702.6,4,213
2,3116.26,5,31
0,4562.09,15,10
3,318.17,1,14
2,1781.23,9,19
3,179.0,1,198
1,390.69,1,618
1,139.2,2,435
2,2212.2799999999997,5,2
0,1922.59,13,13
0,2868.8,11,9
2,1328.0700000000002,4,28
3,906.24,4,23
2,1824.55,8,24
3,565.45,3,42
1,81.3,1,732
1,226.42,1,409
2,1602.13,5,1
3,663.81,3,5
1,115.77,1,378
3,513.37,3,146
0,2089.66,11,9
1,345.25,1,589
2,1309.36,4,24
1,124.75,1,654
3,465.22999999999996,3,273
1,190.58,1,412
1,907.38,3,373
2,2005.06,8,0
3,380.02,3,46
1,1056.42,4,425
1,401.08,2,484
2,3554.17,4,3
2,1821.9,9,42
0,4161.06,11,196
2,1897.59,7,11
1,579.85,1,434
1,50.48,1,592
0,3885.08,14,15
0,2571.81,12,112
1,593.5,4,405
3,328.2,1,248
0,3152.32,10,28
1,310.15,1,479
1,112.03,1,735
1,126.45,2,683
3,389.64,1,43
3,869.51,2,86
2,1550.48,6,44
2,2603.76,3,14
3,420.5,1,74
2,2864.97,7,144
2,1625.97,3,4
1,89.2,1,296
3,447.92,3,58
3,417.57,2,263
3,278.3,1,46
3,254.11,3,28
1,382.81,1,473
3,192.60000000000002,2,16
0,3637.64,8,231
1,594.62,2,620
3,139.26,1,111
1,140.55,1,592
1,241.45,1,528
3,1418.46,3,57
0,3708.3,15,50
1,307.56,1,403
3,730.86,2,126
3,386.15,3,280
3,447.68,2,54
1,200.10000000000002,1,319
1,307.3,1,658
3,449.93,3,25
3,77.4,2,9
1,90.96,1,549
1,110.65,1,470
3,1156.32,3,6
3,197.64,1,28
0,2526.62,10,16
1,303.63,1,606
3,6.2,1,63
3,625.9,2,20
2,1953.9,10,2
3,131.45000000000002,1,165
1,300.31,1,506
2,724.31,8,52
3,338.15,2,50
3,193.14,1,60
3,845.55,3,161
3,353.27,1,8
2,1104.64,7,14
3,303.43,2,74
1,519.29,2,390
2,2741.17,8,39
1,686.76,2,620
0,2537.02,13,40
1,170.5,1,386
1,185.8,1,598
1,1090.87,4,369
1,159.21,1,580
3,778.5,2,36
3,271.85,1,196
0,3609.86,7,199
2,1170.41,6,73
3,470.16,4,63
2,1274.76,9,20
2,1286.45,7,366
1,157.70000000000002,1,484
3,321.43,3,179
0,4022.9100000000003,10,9
1,385.2,2,581
2,1692.84,7,28
3,196.28,1,52
1,1676.57,3,679
1,94.8,1,498
2,2206.16,7,17
1,297.0,2,528
3,102.44999999999999,3,9
0,3460.32,9,89
1,773.6700000000001,2,422
1,915.28,3,417
3,362.71,2,267
2,2824.69,4,43
1,211.79999999999998,1,436
1,150.0,1,599
1,437.4,1,426
3,1348.95,3,148
1,310.56,1,404
2,1794.01,7,311
3,829.4100000000001,3,22
2,1376.87,5,23
0,4322.86,11,77
3,1311.3799999999999,3,35
0,3651.851,7,59
1,180.75,1,505
2,1705.64,5,12
3,170.32,1,18
2,1380.73,10,51
3,841.1999999999999,2,25
3,266.76,1,28
3,129.72,4,6
0,2952.06,16,185
0,4184.01,12,2
2,2804.24,6,8
2,1838.95,6,261
2,1258.97,9,2
1,816.6,3,483
3,854.13,2,209
1,116.18,1,534
2,2862.4,3,107
1,256.7,2,520
1,437.0,2,417
1,185.06,1,684
3,706.19,3,76
3,255.4,1,19
0,3628.15,14,26
2,761.59,6,18
1,120.6,1,668
2,1598.12,3,131
3,364.8,1,252
3,1862.0,1,78
3,369.2,1,206
1,135.9,1,335
3,817.25,3,253
3,1106.73,4,147
1,202.35000000000002,1,690
2,1809.6100000000001,3,9
3,1492.81,3,84
2,2092.42,8,204
0,3140.54,8,7
0,3507.81,14,22
1,1384.88,1,394
1,13.919999999999998,1,521
0,2289.65,12,10
3,1035.6200000000001,3,25
2,2810.63,5,20
2,1640.64,4,1
2,1971.39,8,157
3,381.9,2,73
1,1404.68,3,436
3,434.35,4,2
2,1849.58,5,16
0,4073.13,8,35
0,1811.25,11,90
0,3042.95,8,70
1,1123.75,2,596
1,359.35,1,538
2,1607.17,3,212
3,1316.07,2,29
1,843.74,2,393
3,749.1,1,50
3,931.01,3,245
1,359.4,2,381
1,308.2,1,396
1,223.91000000000003,1,627
3,836.69,2,31
3,864.6800000000001,4,4
1,879.66,2,365
1,1770.0,4,443
2,3403.5,5,81
2,2849.83,2,296
2,1621.88,3,56
1,2322.43,2,561
1,531.49,2,417
1,182.1,1,578
1,746.56,4,401
1,107.62,1,662
1,179.4,1,413
3,100.9,1,13
2,1049.79,6,71
2,1101.97,6,22
1,515.0,4,468
3,371.2,1,18
3,311.69,1,78
3,1011.27,4,24
3,503.44,2,11
1,163.77,1,732
1,1325.0,1,420
3,333.29,2,252
2,957.9399999999999,6,146
3,695.42,4,63
3,221.27,2,7
3,366.91,4,270
0,3164.48,12,9
3,206.21,1,246
3,599.0,2,95
2,1115.8400000000001,6,14
2,1982.6100000000001,6,49
3,501.24,2,29
1,906.23,1,703
0,4919.35,12,67
3,1116.57,3,34
3,145.07,2,127
3,1314.45,3,106
3,114.39,1,36
3,472.39,2,56
2,774.86,6,56
1,31.929999999999996,1,725
0,3142.14,10,71
1,439.46,1,734
1,150.68,1,736
3,372.92,2,245
1,234.88,1,571
1,183.20000000000002,1,688
2,1271.41,6,18
3,296.75,2,197
1,566.9,2,375
2,1713.85,8,15
2,2066.6,7,211
1,342.4,1,661
1,305.42,2,611
1,314.67,1,429
1,210.5,1,441
1,36.13,1,563
1,956.68,5,381
3,233.23000000000002,2,38
1,442.28999999999996,2,480
3,776.5999999999999,4,45
3,770.73,4,169
1,129.48000000000002,1,592
3,490.52,1,47
1,228.85999999999999,2,393
0,4817.28,9,115
1,1060.7,6,472
3,1245.93,1,146
3,820.19,2,50
3,156.91,1,158
1,360.0,2,479
3,1261.78,3,11
3,308.94,1,35
1,416.6,2,395
3,860.62,3,53
2,1641.3,10,487
3,260.17,2,42
0,2354.52,13,500
3,630.3,5,172
3,125.58,1,33
3,607.46,3,38
3,266.0,1,266
1,203.42,1,378
0,2783.83,12,8
2,1186.09,5,11
0,4075.51,16,9
3,1005.14,2,32
2,1056.81,5,79
0,3195.6,10,30
2,1157.71,6,7
1,365.1,1,619
2,1979.91,8,71
0,3156.58,14,3
0,2583.37,10,4
3,252.73000000000002,1,89
3,465.55,3,71
1,402.51,2,375
2,1309.86,9,58
1,7.49,1,541
3,293.6,2,169
3,315.45,2,198
2,2858.7999999999997,6,30
3,735.66,2,151
3,343.62,1,269
3,482.75,4,64
3,121.17000000000002,1,273
0,4193.79,5,24
0,3935.16,9,22
1,215.78,1,318
3,697.79,3,4
3,302.1,2,11
1,560.07,3,474
1,133.45,1,519
2,3255.96,5,274
0,3410.03,16,24
3,301.84,4,7
2,2585.62,8,70
3,370.79999999999995,1,212
1,1154.41,4,409
2,3326.86,5,37
3,893.59,1,52
0,3877.88,5,77
3,1176.85,4,45
3,1109.53,1,178
1,843.25,3,372
2,1455.56,4,93
1,187.51999999999998,1,478
0,2788.02,8,9
3,1566.33,3,104
3,773.03,1,77
3,1447.74,3,172
1,2428.08,2,494
0,3767.35,11,212
1,546.25,2,427
0,1965.72,12,21
1,93.35000000000001,1,668
3,88.2,1,256
1,965.2,2,379
1,347.54,1,729
1,218.53,2,564
3,306.94,1,281
3,1160.07,2,20
2,2420.84,6,9
1,381.32,1,307
3,1046.6100000000001,3,67
3,776.46,3,214
1,83.0,2,462
0,3141.64,10,103
3,219.39000000000001,1,42
3,908.35,3,3
3,410.48,1,83
2,2894.7,7,333
2,1477.94,6,8
1,554.67,2,530
3,703.36,2,30
3,1027.44,2,196
0,3094.91,9,17
2,1422.52,5,17
2,940.35,9,310
3,1159.25,3,141
3,983.1,3,245
2,1505.8500000000001,6,23
2,2730.87,5,28
1,209.4,1,610
2,3608.94,3,9
0,3400.12,12,29
3,531.85,2,17
2,1352.75,4,17
2,2485.9700000000003,8,14
3,244.8,1,133
3,266.4,1,245
3,358.82,1,133
3,457.72,2,49
0,4497.47,11,113
0,4656.17,5,6
3,450.82,4,22
1,449.49,2,536
3,711.5,2,65
2,1783.68,5,59
3,330.11,1,169
1,80.28,1,394
2,977.9300000000001,5,17
2,1806.9,5,127
2,1596.29,10,14
3,305.68,2,238
2,1286.7,4,2
1,823.4,2,520
1,502.52,1,393
3,178.96,2,239
0,3243.69,8,51
2,1388.47,7,457
2,2619.92,6,45
3,563.63,2,225
3,1194.73,4,3
3,1327.16,2,164
3,623.5,1,239
3,301.29,1,10
2,1524.6100000000001,4,133
1,2085.61,2,422
3,329.25,1,30
3,1388.41,3,74
1,383.96999999999997,1,382
3,961.49,3,0
2,2654.11,5,3
3,606.02,2,44
1,589.27,4,356
1,119.92,1,387
1,312.9,1,730
3,304.47,2,17
2,2068.92,9,68
1,975.5,1,372
1,167.16,1,467
2,1659.67,5,320
3,106.56,1,25
1,569.22,2,381
1,81.15,1,406
1,1289.5,1,330
2,1624.05,5,8
2,1494.6,7,380
1,481.46,2,322
3,224.14,1,71
1,988.04,1,667
1,948.93,1,425
3,40.5,1,259
1,904.4300000000001,3,366
2,1200.2,5,65
0,2998.952,11,153
1,639.93,3,547
3,689.95,4,28
3,310.62,1,69
2,1403.2,5,13
0,4762.18,15,1
1,310.43,1,724
1,834.4399999999999,1,433
1,588.05,3,462
2,1981.39,5,119
3,499.32,1,60
2,3861.0,1,2
1,316.25,2,432
2,1877.51,6,10
3,571.35,5,91
0,3122.4,10,58
1,549.05,1,494
2,1842.95,7,86
0,4400.18,15,25
1,316.58,1,356
3,653.24,2,84
3,420.29999999999995,4,9
1,683.9200000000001,3,415
2,970.52,6,0
1,178.98000000000002,1,729
3,1176.19,3,224
3,1277.48,2,59
3,208.28,2,240
1,328.35,2,318
2,1661.44,8,1
2,2422.43,7,46
3,486.09,2,87
1,426.24,1,562
3,685.45,2,175
2,1778.96,6,51
2,2465.4500000000003,4,365
0,3550.91,11,318
2,1417.95,5,225
1,871.36,5,357
3,409.40000000000003,1,233
1,154.41,1,310
0,2488.4900000000002,9,36
1,160.5,1,585
3,429.6,2,238
1,250.26,1,620
3,612.06,2,112
1,59.400000000000006,1,400
3,197.0,1,276
0,2937.81,16,217
1,321.05,1,298
2,1412.32,4,1
3,1071.99,3,28
3,780.59,2,9
0,4459.98,12,44
0,3050.16,11,66
1,302.04,1,421
3,927.2800000000001,2,73
3,912.08,3,64
0,4610.84,8,133
3,780.4,3,237
3,976.06,3,121
1,1893.93,3,410
1,60.0,1,640
2,2103.41,5,35
2,2055.09,8,15
3,1088.35,3,126
0,3729.42,9,66
3,170.4,2,148
3,685.9,2,282
3,623.16,2,168
1,1182.3799999999999,4,512
2,1508.0,4,134
1,418.82,3,323
3,156.51,1,106
3,848.4,2,63
2,3345.64,4,150
1,852.21,5,337
2,1717.36,5,21
1,961.9000000000001,3,478
3,1225.3600000000001,3,23
2,2085.48,6,56
1,228.96,1,599
3,716.57,2,3
3,615.14,1,37
3,649.53,4,65
3,476.34,2,46
1,496.15999999999997,4,561
2,1580.54,5,354
3,406.21999999999997,3,171
1,348.59,1,569
1,148.33,3,389
1,24.75,1,499
1,94.92,1,407
3,240.55,1,49
3,856.03,5,21
0,3874.28,10,42
2,1593.09,5,28
3,180.94,1,200
1,247.5,1,665
1,233.35,1,410
1,217.23999999999998,1,653
3,641.94,3,9
3,496.44,1,63
1,308.0,1,729
3,1224.18,3,289
2,919.5500000000001,9,60
1,93.6,1,554
0,3484.73,9,63
3,205.3,1,95
3,310.47,1,273
1,797.96,4,610
1,1634.64,1,478
0,2930.19,12,74
3,52.0,1,109
3,820.4499999999999,3,198
3,570.5,2,63
1,165.0,1,326
1,129.75,1,676
3,312.62,1,3
1,204.5,1,283
3,267.13,1,43
3,1390.86,2,85
1,434.6,3,562
1,140.22000000000003,1,700
2,1602.01,8,103
2,1700.52,5,333
3,208.75,1,52
1,107.24,1,407
0,2984.33,11,38
3,714.96,2,31
1,767.91,3,499
3,1028.56,1,207
3,348.72,3,156
3,173.97,1,53
1,240.5,1,401
1,373.02,1,410
